Gondi_Sentence	Telugu_Sentence
హొ	అవును
సిల్లె	లేదు / కాదు
రాం! రాం!	నమస్కారామండి
చొకొట్ మంతి?	బాగున్నారా?
చొకొట్ మంతోన్	నేను బాగున్నాను
చొకొట్ మంత	ఇది బాగుంది
చొకొట్ సిల్లె	ఇది బాగలేదు
నన్న కోయంగ్ కరిసేర్ మంతోన్	నేను గోండి భాష నేర్చుకుంటున్నాను
నాక్ టావా సిల్లె	నాకు తెలియదు
నాక్ కరే మాయ్యకి	నాకు అర్థం కావటం లేదు
నన్న జర్ర-జర్ర కోయంగ్ కరితోన్	నేను కొంతమటుకు గోండి భాష నేర్చుకున్నాను
నా సంగ కోయనె వడ్క	నాతో గోండిలో మాట్లాడు
కోయనె తేన్ బతల్ ఇంతేర్?	గోండి భాషలో దీనిని ఏమంటారు?
నిమ్మె బతల్ ఇత్తి?	మీరు ఏమన్నారు?
వడ్క	మాట్లాడు
మర్ధ వెహ	మళ్ళీ చెప్పండి
జోక్ - జోక్వడ్క	మెల్ల-మెల్లగా మాట్లాడు
వెయ్యె వెహ	త్వరగా చెప్పండి
వోర్ బతల్ వెహ్త్ఓర్?	ఆయన ఏమి చెప్పారు?
ఇద్ కరల్ కీ?	ఇది నిజమైన దేనా?
నన్న బహ్కె మాసి వడ్క్ తెకె వెహ	నేను తప్పు మాట్లాడితే నాకు చెప్పండి
నాక్ కరే మాయ్మకి	నాకు అర్థం కావటం లేదు
నాక్ జరసి కరే మాత	నాకు కొద్దిగా అర్థమయింది
నాక్ కోయంగ్ వడ్క వాయొ	నాకు గోండి భాషలో మాట్లాడడం రాదు
నన్న కోయంగ్ కరియ లాగర్	నేను గోండి భాష నేర్చు కోవాలి
నీవ బత్త పాడి?	మీ కుటుంబం పేరు?
నావ పేందోర్	మా కుటుంబం పేరు పేందుర్
నీవ బద్ నార్?	నీ ఊరేది?
నావ భీముగూడ	మా ఊరు భీముగూడ
నీవ బద్ పొరోల్?	నీ పేరు ఏమిటి?
నావ దుర్నత్ రావ్	నా పేరు దుర్నత్ రావ్
నిమ్మె బేకె దాంతి?	నీవు ఎక్కడికి వెళ్తున్నావు?
నాటె దాంతోన్	ఊరి వైపు వెళ్తున్నాను
నిమ్మె బతల్ కామ్ కీంతి?	నీవేమి పని చేస్తావు?
నన్న ఖేతి కామ్ కీంతోన్	నేను వ్యవసాయం పని చేస్తాను
నీక్ బచ్చొంగ్ సాల్క్ మంతంగ్?	నీ వయస్సు ఎంత?
మీ నాట్నోర్ పాట్లనా పాడి బతల్?	మీ ఊరి పటేల్ కుటుంబం పేరు ఏమిటి?
మా నాట్నోర్ పాట్లనా పాడి మడావి	మా ఊరి పటేల్ కుటుంబం పేరు మడావి
మీ నాట్నోర్ పాట్లన బత పొరోల్?	మీ ఊరి పటేల్ పేరు ఏమిటి?
పాట్లనా పొరోల్ రాము	పటెల్ గారు పేరు రాము
పాట్లన బద్ రోన్?	మీ ఊరి పటేల్ గారి ఇల్లు ఎక్కడ ఉంది?
పాట్లన రోన్ అగ మంత	పటేల్ గారి ఇల్లు అక్కడ ఉంది
నన్న నీక్ సూడ్సి బయ్ కుసి ఆతోన్	నేను నిన్ను చూసి చాలా సంతోషించాను
ఇద్ బతల్?	ఇది ఏమిటి?
అద్ బతల్?	అది ఏమిటి?
అద్ చెప్పుల్ / సెర్పుం	అది చెప్పు
అద్ చెప్పుల్ / సెర్పుం బోన?	ఆ చెప్పు ఎవరిది?
అద్ నావ	అది నాది?
అద్ వోన?	అది ఆయనదా?
నావంగ్ బవ్ చెప్పుల్క్ / సెర్పుక్?	నా చెప్పులు ఏవి?
అద్ సుంగున?	ఇది సుంగు దా?
ఇద్ బాతల్ మంత?	ఇది ఎలాగ ఉంది?
ఇద్ తాన్ మొడిత	ఇది దాని లాగ ఉంది
అడ్ బగ మంత?	అది ఎక్కడ ఉంది?
అడ్ ఇగ్గేనె మంత	అది ఇక్కడ ఉంది
రోత్ పొర్రో మంత?	అది ఇల్లు మీద ఉన్నది
గాటొ తిన్ / తిన్న	భోజనం చేయండి / భోజనం చేయవద్దు
యేర్ ఉన్ / ఉన్మ	నీళ్ళు త్రాగండి / నీళ్ళు త్రాగవద్దు
ఇద్ కేంజ / కేంజ్మ	ఇది వినండి / వినవద్దు
సో / సొన్న	వెళ్లండి / వెళ్లకండి
నిల / నిల్మ	నిలబడుము / నిలబడవద్దు
ఉద్ద / ఉద్మ	కూర్చోండి / కూర్చోవద్దు
హక్కె సూడ / సూడ్మ	అక్కడ చూడండి / అక్కడ చూడొద్దు
హిక్కె సూడ / సూడ్మ	ఇక్కడ చూడండి / ఇక్కడ చూడొద్దు
గాటొ అట్ట / అట్మ	భోజనము వండుము / వండవద్దు
బహ్రి సొ / సొన్మ	బయటకు వెళ్లండి / బయటకు వెళ్ళద్దు
ఇగ్గే నర్మ / నరుమ్మ	ఇక్కడ నిద్రపొండి / ఇక్కడ నిద్రపోవద్దు
నిమ్ వోन् సంగ వడ్క / వడ్కమ	ఆయనతో మీరు మాట్లాడండి / ఆయనతో
రొప్పో వా	లోపలకి రండి
జర దీర	కొంతసేపు ఆగండి
వెయ్నె!	త్వరగా
హిక్కే వా	ఇక్కడికి రండి
హక్కె సో	అక్కడికి వెళ్లండి
తాన్ సూడ	దానిని చూడండి
నావ కేంజ	నేను చెప్పేది వినండి
దబ్ మన్	నిశబ్దంగా ఉండుము
ఆగ / డీర	ఆగు
దీరట్	ఆగండి
వోన్ సుట్ కీమ్	ఆయనను వదిలిపెట్టండి
వోన్ తక్లీబ్ కియ్య	ఆయనను బౌదపెట్టకండి
అద్ ఇట్మ	దానిని ముట్టవద్దు
ఇంకె కీమ్	ఇప్పుడు చేయండి
మల్ల కీమ్	తరువాత చేయండి
ఇహిన్ కీమ్	ఇలాగు చేయండి
అహన్ కియ్య	అలాగు చేయవద్దు
సొంజి తా	వెళ్ళి తీసుకురా
అద్ నాక్ సీమ్	అది నాకు ఇవ్వండి
నాక్ ఇచుంగ్ కేరెంగ్ సీమ్	నాకు కొన్ని అరటిపండ్లు ఇవ్వండి
ఇగ్గే తా	ఇక్కడ తీసుకొని రా
అగ ఇర	అక్కడ పెట్టండి
దుర్స	నెట్టండి/దొబ్బుట
ఉమ్మ	లాగండి
కావడ్ కెహ	తలుపు పెట్టు
కావడ్ తెరియ	తలుపు తెరువు
కయ్యడే రోన్ సియా	చీపురుతో ఇల్లు ఊడ్వండి
రోజి రచతున్ సియా	ప్రతి రోజు బైట వాకిలి ఊడ్వండి
తడ్మి నిరుస	మంట వెలిగించండి
యేర్ కాసుస	నీళ్ళు మరిగించండి
వీయర్ బహ్రి వాడ్ సీమ్	చెత్త బయట పార వేయండి
నీవంగ్ కెయ్క్ నొరా	మీ చేతులు కడుగుకోండి
మొడ్డల్ అడ్సేర్ మన్నెకె, యెత్మ	బిడ్డ ఏడ్చినప్పుడు ఎత్తుకో వద్దు
ఇంకె యేర్ వహ్చాంత?	నీళ్ళు ఇప్పుడు మరుగు చున్నాయి?
నిమ్మె నాక్ యేర్ తరంతి?	నీవు నాకు నీళ్ళు తెస్తావా?
నిమ్మె నావంగ్ కప్డింగ్ సుకంతి కీ?	నీవు నా బట్టలు ఉతుకుతావా?
కస్టింగ్ సుక్వల్ ఆత కీ?	బట్టలు ఉతకడము అయిపోయిందా?
కస్టింగ్ రచ్చతె వోడ	బట్టలు బయట ఆరేయండి
రచ్చతంగ్ కస్డింగ్ వత్తంగ్ కీ?	బయట బట్టలు ఆరీనాయా?
రచ్చతంగ్ కస్టింగ్ రొప్పో తా	బట్టలు లోపలికి తేవండి
నీక్ బతల్ పహ్జె?	మీకు ఏమి కావాలి?
బతల్ ఆత?	ఏమి జరిగింది?
బహన్ ఆత?	ఎలా జరిగింది?
బారి సోంగ్ ఆతోర్?	ఎందుకు కోపంగా ఉన్నాడు?
హట్టె మాతి?	నీవు అలసి పోయినావా?
నిమ్మె బతల్ కీసేర్ మంతి?	నీవు ఏమి చేస్తున్నావు?
అహన్ బారి కీంతి?	నీవు ఎందుకు అలా చేస్తున్నావు?
నిమ్మె బహన్ కీతి?	నీవు ఎలా చేశావు?
ఇద్ బోర్ కీతేర్?	ఇది ఎవరు చేశారు?
నిమ్మె బగ సొంజేర్ మంతి?	నీవు ఎక్కడికి పోతున్నావు?
నిమ్మె బగ దాంతి?	నీవు ఎక్కడికి వెళ్ళుతున్నావు?
బస్కే మల్సి వాంతి?	నీవు మళ్ళీ ఎప్పుడు తిరిగి వస్తావు?
బచ్చొంగ్ రోజ్కి లాగంత?	ఎన్ని రోజులు పడుతుంది?
నిమ్మె బారి వాయ్యకి?	నీవు ఎందుకు రాలేదు?
నిమ్మె బగటల్ వాతి?	నీవు ఎక్కడ నుండి వచ్చావు?
నిమ్మె ఇగ్గే బస్కే వాతి?	నీవు ఎప్పుడొచ్చావు?
నిమ్మె బారి వాతి?	నువ్వెందుకొచ్చావు?
బస్కే సింతి?	దీన్ని నీవు ఎప్పుడు తిరిగి ఇస్తావు?
నేండ్ నర్క సియాన	ఈ రాత్రి వరకు ఇచ్చెయండి
నన్న రొప్పో వాక?	నేను లోనికి రావచ్చా?
నన్న నీ సంగ వాక?	నేను నీతో రావచ్చా?
నిమ్మెట్ మా సంగ(మాతోడొ) వాంతిట్?	మీరంతా మాతో వస్తారా?
సమ్దిర్ మీరె మాసి దాకట్	మనమందరము కలిసి వెళ్ళుదాము
వా, మా సంగ్ తిన్	రా! మాతో కలిసి భోజనం చేయండి
నీవ గాటో మర్త?	నీ భోజనము అయిపోయిందా?
