Gondi_Sentence	Telugu_Sentence
??	?????
??????	???? / ????
???! ???!	????????????
?????? ?????	???????????
?????? ??????	???? ??????????
?????? ???	??? ???????
?????? ??????	??? ???????
???? ?????? ??????? ??????	???? ????? ??? ?????????????????
???? ???? ??????	???? ???????
???? ??? ???????	???? ????? ????? ????
???? ????-???? ?????? ???????	???? ????????? ????? ??? ??????????????
?? ??? ????? ????	???? ??????? ????????
????? ???? ???? ???????	????? ????? ?????? ????????
?????? ???? ??????	???? ?????????
????	????????
???? ???	????? ????????
????-???? ????	?????-??????? ????????
?????? ???	?????? ????????
???? ???? ?????????	??? ??? ?????????
??? ???? ???	??? ?????? ?????
???? ????? ???? ???? ???? ???	???? ????? ?????????? ???? ????????
???? ??? ???????	???? ????? ????? ????
???? ???? ??? ???	???? ???????? ??????????
???? ?????? ???? ????	???? ????? ????? ????????? ????
???? ?????? ???? ?????	???? ????? ??? ?????? ??????
??? ???? ?????	?? ??????? ?????
??????????	?? ??????? ???? ???????
??? ??? ?????	?? ??????
??? ???????	?? ??? ???????
??? ?? ???????	?? ???? ??????
??? ??????? ????	?? ???? ??????? ????
?????? ???? ??????	???? ???????? ?????????????
???? ???????	??? ???? ????????????
?????? ???? ???? ??????	?????? ??? ?????????
???? ???? ???? ???????	???? ???????? ??? ????????
???? ???????? ?????? ???????	?? ?????? ????
?? ???????? ?????? ???? ?????	?? ??? ????? ??????? ???? ??????
?? ???????? ?????? ???? ?????	?? ??? ????? ??????? ???? ?????
?? ???????? ?????? ?? ???????	?? ??? ????? ???? ??????
?????? ?????? ????	????? ???? ???? ????
?????? ??? ?????	?? ??? ????? ???? ????? ????? ?????
?????? ???? ?? ???	????? ???? ????? ????? ?????
???? ???? ?????? ??? ???? ?????	???? ?????? ???? ???? ???????????
??? ?????	??? ??????
??? ?????	??? ??????
??? ???????? / ???????	??? ??????
??? ???????? / ??????? ????	? ?????? ???????
??? ???	??? ?????
??? ????	??? ??? ???
?????? ??? ?????????? / ?????????	?? ???????? ????
??? ???????	??? ????? ???
??? ????? ????	??? ???? ?????
??? ???? ?????	??? ???? ??? ????
??? ?? ????	??? ????? ?????
??? ??????? ???	??? ????? ????
???? ???? ????	??? ????? ??? ??????
???? ???? / ?????	????? ?????? / ????????
???? ??? / ????	?????? ???????? / ??????????
??? ???? / ??????	??? ?????? / ????????
?? / ?????	???????? / ?????????
??? / ?????	???????? / ??????????
???? / ????	????????? / ???????????
????? ??? / ?????	????? ?????? / ????????
?????? ??? / ?????	????? ?????? / ????????
???? ???? / ????	?????? ?????? / ???????
????? ?? / ?????	????? ???????? / ?????????
????? ???? / ??????	????? ?????????? / ????????????
???? ???? ??? ???? / ??????	????? ???? ?????????? / ????????????
?????? ??	?????? ????
?? ???	???? ???? ?????
??????!	??????
?????? ??	???????? ????
????? ??	???????? ????????
???? ???	?????? ??????
??? ????	???? ???????? ??????
??? ???	????????? ??????
??/???	???
?????	?????
???? ???? ????	????? ????? ????????
???? ??????? ?????	????? ????????????
??? ????	?????? ??????????
???? ????	??????? ??????
???? ????	?????? ??????
????? ????	????? ??????
???? ?????	????? ????????
????? ??	?????? ????????
??? ???? ????	??? ???? ???????
