Gondi Sentence	Telugu Translation
అక్కల్ మన్వల్ మాయ్నల్ చొకొట్ మందంతొర్.	బుద్ధి మంతుడు మంచిగా ఉంటాడు.
బయ్యె బాబలిర్ కాండిన్ అక్కల్ బుద్ది కరుసన.	తల్లి దండ్రులు పిల్లలకు తెలివి తేటలు నేర్పాలి.
మావొర్ అక్కొ డగుర్.	మా తాతయ్య పెద్దవాడు.
అక్కొ చుట్ట ఉంజెర్ మంతొర్.	తాతయ్య చుట్ట తాగుతున్నాడు.
నన్న అక్కొ మామలిర సోరిక్ దాంతొన్.	నేను తాతయ్య మామయ్య వారి ఇంటికి సంబంధానికి వెళతాను.
నావంగ్ కాల్క్ అక్డెమాతంగ్.	నా కాళ్లు ముడుచుకు పోయాయి.
నాకున్ అక్ర హెర్రెంగ్ మంతంగ్.	నాకు పదకొండు మేకలు ఉన్నాయి.
అక్సెర్ ఉంది గునం.	అక్షరం ఉంది గుణం.
వేర్ వెర్తల్ అగ్గటొర్ ఆందుర్.	ఈ చుట్టము అక్కడి వాడు.
వేర్ మాయ్నల్ అగ్గటొర్.	ఈ వ్యక్తి అక్కడి వారు.
మావొర్ దాదన బాయ్కొ నాకున్ అఙె ఆంత.	మా అన్నయ్య పెండ్లం నాకు వదిన అవుతుంది.
మావ సాడతె అచనక్ పి.ఓ. సాబ్ వాసి మత్తొర్.	మా బడికి పి.ఓ ఆకస్మికంగా వచ్చారు.
నిమ్మె అచ్చొర్ డగుర్ బహన్ ఆతి.	నీవు అంత పెద్దగా ఎలా అయ్యావు.
బుయరితగ అచ్చొడ్ రొప్పొ నేంగ్మా.	గుహలో చాలా లోపలికి వెళ్లకు.
అచ్విర్ తె మావ రోన్ తిన్లెన్ వాయన.	అంతమంది మా ఇంటికి తినడానికి రావాలి.
దుకాన్ దారల్ అజుక్ ఉండె బతంగ్ పహజ్లె ఇంతొర్.	దుకాణ దారు ఇంకా ఏమి కావాలి అని అడుగుతున్నాడు.
నావ ఆంగ్డెతున్ మోలతగ అట్కి కీతొన్.	నా చొక్కాను మేకుకు వేలాడదీసాను.
పెరెక్ ఙల్ అట్కుల్క్ తయర్ కీంతెర్.	బియ్యము నుండి అటుకులు తయారు చేస్తారు.
నావ నేస్క్‌వల్ అట్కె మాత.	నా ఊపిరి ఆగిపోయింది.
తిందన్ సాటి రోజి గాటోంగ్ కుస్రింగ్ అట్వల్.	తినడానికి రోజు అన్నము కూరలు వంట చేయడం.
