Gondi_Sentence	Telugu_Sentence
బెయే బాబాల్ మియాడుస్ హెర్రే, మూర సీతెకే తాన్ అందూన్ ఇంతేర్	తండ్రి కూతురుకు ఇచ్చె మేకలను,ఆవులను కట్నము అంటారు
నర్కక్ దిస్సో వోన్ అంద్రీయాల్ ఇంతేర్	రాత్రి పూట కనిపించని వారిని రేచీకటి వారు అంటారు
మర్మి మండద్గా నొవ్రి,నొవ్రన్గా సమ్దిర్ అక్సీదాంగ్ వాటంతేర్	పెండ్లి పందిరిలో వధు, వరులకు అక్షింతాలు వేస్తారు
పేర్ మయ్‌నల్ అగాటోర్	ఈ మనిషి అక్కడి వారు
గాటో అటన్ లాసి యేతున్ అటంతేర్	అన్నము వండుటకు నీటిని ఎసరు పెట్టుతారు
సరియ్ సొన్నెకే తరాస్ అడ్డం వాత	త్రోవలో నడుస్తు వెళ్ళంగా పాము అడ్డం వచ్చింది
చుట్టాల్ బందుక్, మర్మిన్గ నొవ్రినేర్, నొవ్రనేర్ బెయే బాబాన్ కప్డింగ్ అహేర్ కీంతేర్	చుట్టాలు, బంధువులు పెండ్లిలో వరుడు,వధువు తల్లి, దండ్రులకు బట్టలు కట్నము చేస్తారు
నోడెత్ కస్రా కియై ఆటాపాంతేర్	తాడును పగ్గం చేయుటకు అల్లుతారు
రోతగ, బుడ్డింగ్- ముడ్డింగ్ పొర్రో ఇర్లె ఆటేరా కీంతేర్	ఇంటి సామాను ఉంచుటకు ఇంట్లో అటుకు తయారు చేస్తారు
నిమ్మె కొత్తంగ్ కల్మాకి ఇంజేర్ ఆడా పియంతి	నీవు డబ్బులు దొంగతనము చేయలేదని ఒట్టు తీసుకొంటవా
చుడూక్ కాండిర్కున్ కర్సవల్ బొమ్మా తత్తేకే ఆనంద్నే - ఆనంద్ అంతేర్	చిన్నపిల్లలకు ఆటలాడెందు బొమ్మలు తెస్తే చాల ఆనంద పడుతారు
మహ్నత్ ఉంది జోక ఆవుస్ వాంత	నెలకు ఒకసారి అమవాస్య వస్తుంది
రొహ్క్, గోడంగ్, ఉండే వెల్లె రంక్నంగ్ దొహన్‌సాటి తోడిత ఇట్కే కీంతేర్	ఇండ్లు గోడలు కట్టుటకు మట్టితో ఇటుకలను తయారు చేస్తారు
వోర్ రాంగ్ సీతోర్ ఇత్తేకే సొడితోర్	ఆయన తిట్టినాడు అంటే వెళ్ళినాడు
వాప్లై నాయ్జడే ఊడంతేర్	నాగాలితో చేనును దున్నుతారు
కాండర్ బూడ్ ఉచ్చి మంతేర్	పిల్లలు క్రింద కూర్చోని ఉన్నారు
తరాస్క్, డొక్కెంగ్ మన్వల్ పుతిత్గా ఉద్రి మందంత	పాములు, తొండలు ఉండే పుట్టలో చెదలు ఉంటాయి
పియ్య మురద్గ పాల్ ఉంటా	దూడ ఆవు దగ్గర పాలు త్రాగుతుంది
కాండర్-పేకింగ్ సక్రే పాల్ ఉండన	పిల్లలు ప్రొద్దున పాలు త్రాగాలి
కాండిర్ నోడెత్ ఉమ్సేర్ మంతేర్	పిల్లలు తాడును గుంజుతున్నారు
కేడతె, పుత్తిన్గ, మరక్నంగ్ డోబ్రన్గ, ఉరూంక్ మందంతంగ్	అడవిలో, పుట్టలలో చెట్ల తోఱ్ఱలలో ఉడుములు ఉంటాయి
ఇవ్ రోకడే వంజింగ్ ఉస్సేర్ మంతంగ్	వీరు రోకలితో వడ్లు దంచుతున్నారు
డగూర్ పిర్ వాతెకే లవ్డితున్ ఊస వాంత	పెద్ద వాన పడితే వాగును-వాగు పొంగింది అంటారు
కచ్చి దుకన్‌తంగ్ కూయ్‌సంగ్, పాస్క్ కియన్సాటి కచ్చి యేతంతేర్	ఇనుము దుకాణములో కర్ర కొరకు ఇనుము తీసుకుంటారు
యేర్ ఆపుసన్ సాటి లవ్డితే కట్టా దొహంతేర్	నీటిని ఆపుటకు వాగుకు అడ్డం కట్టా కట్టుతారు
రోన్ సియై చప్రింగ్ రచ్చంగ్ సియై కయ్యెర్ కాం సీంత	ఇల్లు శుభ్ర పరుచుటకు చీపురు పనికి వస్తుంది
కాసూడ ఆస్కుడున్ హిందక్- హందక్ మేల్య సియవ్క్, కరంగాడింగ్ దొసంతేర్	ఎడ్ల బండి అటు ఇటు తిరుగకుండ ఇర్సును కట్టుతారు
నన్న ఇంకే కోయంగ్ కరిసేర్ మంతోన్	अभी मै गोंकी सीख रहा ఝ్ నేను ఇప్పుడు గోండి భాష నేర్చుకుంటున్నాను
వోర్ తాన్ కంప్యూటర్ కరుసేర్ మంతోర్	ఆయన ఆమెకు కంప్యూటర్ నేర్పుతున్నాడు
వాప్లె కాం కీతెకే బయ్ కర్ వసంత	చేనులో పనిచేస్తే చాల ఆకలేస్తుంది
గాటో తింజీ దెడే నొర్వక్ ఇర్తెకే కర్కాటా పియంత	అన్నము తిని పళ్లెం కడుక పోతే పల్లెం పాడవుతుంది
గుసాడ్కి నడితగా ఘుంగుక్ దొహన్ సాటి కర్దోడా దొహంతేర్	గుస్సాడి వారు గజ్జెలు కట్టు కొవాడానికి నడుముకు మొలత్రాడు కట్టు కుంటారు
కోయ్తుర్ కర్నాట్ నేకుస పరంతేర్	గోండ్స్ మత్రమే కర్నాట్ అనే సంగీతం వాయిద్యం వాయిస్తారు
వీర్ చేండు కర్సెర్ మంతేర్	వీరు బంతి అడుచున్నారు
కలాడీ సిందీత, తాడిమర్రత కల్ రెహంతోర్	గౌడు ఈత చెట్టు, తాడి చెట్టు నుండి కల్లు దించుతాడు
కొత్తంగ్ ఆయి సోనే, ఉండే బతయ్గిర్ కల్లెకే కల్లె ఇంతేర్	డబ్బులు కాని బంగారం, ఇతర వస్తువులను దొంగలిస్తే దొంగ అందురు
కొందన్ పోరత్ సౌరి కీనెకే(సజ్జి కీనెకే) గోటిద్గా కసాటింగ్ దొహంతేర్	ఎడ్ల మెడలో గజ్జలు పొలాల పండుగ రోజు కట్టుతారు
బూతిత్ సొత్తెకే కొత్తంగ్ సీతపేజ్జె కహంతేర్	కూళీకి వెళ్ళుతే బబ్బులు ఇచ్చిన తరువాత లెక్క పెట్టుతారు
సేర్దంగ్ జుప్నెంగ్ కాంబ్సి వోంతేర్	అరకు తాళ్ళు కట్టి తీసుకెళ్ళుతారు
మర్రత్ కాంతీంగ్ హిక్కె హక్కె దాంతంగ్	చెట్టు కొమ్మలు అటు ఇటు వెళ్ళుతాయి
వీర్ మయ్నలిర్ డొడ్డొగ్ కాచ్చేర్ మంతేర్	వీరు మనుషులు గోతులు త్రవ్వుచున్నారు
పేకింగ్ బాయిక్ కడ్‌కున్ కాజూడి దోసంతంగ్	అమ్మాలు కళ్ళలో కాటుక పెట్టుతారు
మర్క మర్రద్గా కాయంగ్ మంతంగ్	మామిడి చెట్టు దగ్గర కాయలు ఉంటాయి
రోజీ యేర్‌తుంగ్సి సక్రే భూమాతన్ కాల్ కెరంతేర్	రోజు స్నానం చేసి ప్రొద్దున భూమాతకు దండం పెట్టుతారు
