Gondi Sentence	Hindi Translation	Telugu Translation
इर मनकल अगाटोर.	यह आदमी / मनुष्य वहाँ का है।	ఈ మనిషి అక్కడి వారు.
इस्‍कुलता पिलाल्‍कुना अंगीं उंदेतीर मनंतां.	शाला में जानेवाले सभी छात्राओं का कमीज एक ही रंग का होता है।	బడిలొ చదవుకునె బాలల చొక్క రంగు ఒకె రకముగ ఉంటుంది.
एद्दिते कबड़ किसी-किसी अंगी नांदुता.	धूप में काम करने के कारण मेरा शर्ट भीग गया है।	ఎండలొ పని చెయటమ్ వలన చొక్క తడవడము జరగింది.
पेददादना मुत्तो अंगे आंता.	बड़े भैय्या की पत्‍नी भाभी लगती है।	పెద్ద అన్నయ్య భార్య వదిన అవతుంది.
इर मनकल अगाटोर.	यह आदमी / मनुष्य वहाँ का है।	ఈ మనిషి అక్కడి వారు.
होदेल्ते तडमी मासला अग्‍गि डब्‍बा कबड़ कींता.	चुल्‍हा जलाने के लिये आगपेटी काम आता है।	పొయ్యిలో అగ్గి చేయిటకు అగ్గి పెట్టె తో వెలిగిస్తారు.
ना जाडी कुप्‍पक बोर अग्‍गि डब्‍बा गीसतोर?	मेरे तनीस ढीग को किसने आग लगाया?	నా గడ్డికి ఎవరు అగ్గి పెట్టినారు.
कप्‍डींकु, दोतींकु अंचू मनंता.	साडी, धोती, लुंगी को गोट होता है।	బట్టలకు, దోతులకు,లుంగిలకు, అంచు ఉంటుంది.
सिन्ने पिलाल्‍कुनाहाटीं करसला सिन्ने तट्टा मनंता दान अंचे इंचुर.	छोटे बच्‍चों के पास खेलने के लिये एक टोकरी होता है, उसे टोकरी कहते है।	చిన్న పిల్లలకు ఆడుకొవటానికి చిన్న గప ఉంటుంది.
पेविकल बंकाकन्ना एक्‍को गट्टिगा अंटकुंता.	फेविकल गोंद से भी अधिक चिपकता है।	ఫెవికొల్ అనె పధార్థము బంకకన్న ఎక్కొ అంటుకుంటుంది.
अड़कां, बुड्डीं इर्रला लोतुकु अट्‍कु इर्रंतुर.	कुछ सामान रखने के लिये मकान मे अटारी होता है।	ఇంటి సామాను ఉంచుటకు ఇంట్లో అటుకు తయారు చేస్తారు.
गाटो अट्टनाहाटीं एतुन काच्‍हंतुर.		అన్నము వండుటకు నీటిని ఎసరు పెట్టుతారు.
मनम दुब्‍बते, उस्‍केते ताकते मना काल्‍कुना अडगुल्‍कु अर्रंतां.	जब हम धूल के रास्‍ते जायेंगें तब वहा पांव के निशान दिखाई देते है।	మనము ఇసుకలో, బురుదలో నడిస్తె అడుగులు పడుతాయి.
पेडल अळसेर मंतोर.	वह लडका रो रहा है।	పాప ఏడ్సుస్తూంది.
हर्रि पिसि होननेंके तरास अड्डम वाता.	रास्‍ते से जाते समय मेरे आड़ सांप आया।	త్రోవలో నడుస్తు వెళ్ళంగా పాము అడ్డం వచ్చింది.
दान हिके केयट.	उसे यहा बुलाओ।	
तलुर-बाबो हिल्‍वोर्कुन अनात इंतुर.	जिसका कोई नही होता है उसे अनाथ लडका कहते है।	
पेहपेन कीते अगा बोत्तिटोर हेडमितोर वांतुर.	जब पेरसापेन पूजा होता तब सभी जन इक जगह आते है।	పెద్ద దేవుని దగ్గర అందరు కలుస్తారు.
नेलकु उंदि मल्‍का अमासा वांता.	महिने में एक बार अमावस्या आता है।	నెలకు ఒకసారి అమవాస్య వస్తుంది.
ओर वत्तुता जिम्मां/मीन्‍कु अम्मुसेके मंतोर.	वह सुका मच्‍छली बेच रहा है।	ఆయన ఎండుచాపలు అమ్ముతున్నాడు.
कासूरता इरसु अरगुता.		ఎడ్ల బండి ఇర్సు అరిగి పోయింది.
लोता गल्मकु दल्‍गिसि मनना जेगातुन अरगु इंतुर.	मकान के सामने बैठने के लिये जो व्यवस्‍था होता है उसे बरामदा कहते है।	ఇంటి ముందు ఉన్న స్థలమును అరుస అంటారు
यावल-बाबाल मिय्यड्‍कु एटीं,गोड़कु हीते दानु अरनम इंतुर.		తండ్రి కూతురుకు ఇచ్చె మేకలను ,ఆవులను కట్నము అంటారు.
इंदके मा तातल अरवै मूडु वर्सानोर आतोर.	अभी मेरे दादाजी तिरसठ साल उम्र के है।	ఇప్పుడు మా తాతయ్య వయసు అరవై మూడు సంవస్తరాలు ఉన్నయ్.
बस्‍केळ्‍क बंडापोरोटाल एर पॊंगते बंडा अर्गंता.	पत्‍थर के ऊपर से हमेशा पानी बहने से पत्‍थर भी पिघलता है।	
मुरतड एरपूरनेंके दान उंदि वेरे अर्राते इर्रंतुर.		శిశు జన్మ సమయంలో ఆడవారికి ప్రత్యేక స్థలము ఏర్పాటు చేస్తారు.
पेडल हिडु अरसंतोर.	वह लडका नीचे गिर रहा है।	బాలుడు పడుతున్నాడు.
ना नार अहेरी तहसिलते वांता.	मेरा गांव अहेरी तहसिल में आता है।	
निम्मे निन्ने मंचिगा कबडी कर्‌स्तिन.	तू कल अच्‍छा कबड्डी खेला था।	నీవు నిన్న చాల మంచిగా కబడి ఆడినావు.
नावा नाटुक आंद्रा राज्येम दल्‍गिसे मंता.	आंध्र प्रदेश का सरहद मेरे गांव के नजदिक से गुजरता है।	
