ఇద్ నావ పేడి	ఈమె నా కూతురు
ఇవ్ నావంగ్ పేకింగ్	వీళ్ళు నా కూతురులు
వేర్ వోనొర్ కాండి	ఇతను అతని కుమారుడు
వీర్ వోనెర్ కాండిర్	వీరు అతని కుమారులు
ఇద్ వోన పేడి	ఈమె అతని కూతురు
ఇవ్ వోనంగ్ పేకింగ్	వీళ్ళు అతని కూతురులు
వేర్ తానోర్ కాండి	ఇతను ఆమె కుమారుడు
వీర్ తానెర్ కాండిర్	వీరు అతని కుమారులు
ఇద్ తాన పేడి	ఈమె అతని కూతురు
ఇవ్ తానంగ్ పేకింగ్	వీళ్ళు ఆమె కుమరెలు
వేర్ వీరొర్ కాండి	ఇతను వీరి కుమారుడు
వీర్ వీరెर కాండిర్	వీరు వీళ్ళ కుమారులు
ఇద్ వీర పేడి	ఈమె వీరి కూతురు
ఇవ్ వీరంగ పేకింగ్	వీళ్ళు, వీళ్ళ కుమరెలు
వేర్ ఊరొర్ కాండి	ఇతను వారి యొక్క కుమారుడు
వీర్ ఊరెర్ కాండి	వీళ్ళు వాళ్ళ యొక్క కుమారులు
ఇద్ ఊర పేడి	ఈమె వారియొక్క కూతురు
ఇవ్ ఊరంగ్ పేకింగ్	వీళ్ళు వాళ్ళ యొక్క కుమర్తెలు
నన్న ఇంకె వాచి కీసేర్ మంతోన్	నేను ఇప్పుడు చదువుతున్నాను
వోర్ వెహ్తోర్, “ఇంకె సిల్లె!”	అతను చెప్పిండు ఇప్పుడు లేదు
ఇద్ జోక తిర్యాణి దాకట్	ఈ సారి తిర్యాణి వెళ్ళుదాము
ఇంకేన్ బస్నగ ఉచ్చేర్ మంతొర్	ఇప్పుడు బస్సులొ కూర్చుంటునాడు
ఇంకే-ఇంకేన్ దేవపూర్ సొత్త	ఇప్పుడు-ఇప్పుడె దేవాపూర్ వెళ్ళింది
అద్ ఇత్త, “ఇంకేన్ సిల్లె, మల్ల!”	ఆమె అన్నది ఇప్పుడు లేదు తర్వాత!
ఇంకె వేరి బతల్ కీతి?	ఇప్పటి వరకు ఏమి చేశారు?
బస్కే వాతిట్?	ఎప్పుడు వచ్చారు?
బస్కే-బస్కేన్ రేల్తె దాంతోం	అప్పుడు అప్పుడు రైలుతో వెళ్తాము
నన్న రోజి యేర్ తుంగంతోన్	నేను ప్రతి రోజు స్నానం చేస్తాను
నన్న సక్కెడల్ కామ్ కీసేర్ మంతోన్	నేను ఉదయం నుండి పని చేస్తునే ఉన్నాను
బస్కెగిర్ వోర్ జీబ్ పూడంతొర్	ఎల్లపుడు అతను జీపు నడుపుతాడు
నన్న మర్క పండి తింతోన్	నేను మామిడి పండు తింటాను
నన్న మర్క పండి తింజేర్ మంతోన్	నేను మామిడి పండు తింటున్నాను
నన్న మర్క పండి తిన్క	నేను మామిడి పండు తిన్నాల
నన్న మర్క పండి తిందున్	నేను మామిడి పండు తిన్నె వాడిని
నన్న మర్క పండి తింజేర్ మందున్	నేను మామిడి పండు తింటుఉండే వాడిని
బెయే గాటొ అట్టుందు	అమ్మ వంట చేసేది
బెయే గాటొ అట్	అమ్మ వంట చేసింది
బెయే గాటొ అట్సి	అమ్మ వంట వండింది
బెయే గాటొ అట్సేర్ మత్త	అమ్మ వంట చేస్తుంది
వీస సాల్క్ నల్ బెయే అట్సేరెన్ మంత	ఇరువై సంవత్సరముల నుండి అమ్మ వంట చేస్తుంది
బెయే గాటొ అట్వల్ కీంత	అమ్మ అన్నం వండుడు చేస్తది
బెయే గాటొ అట్టంత	అమ్మ అన్నం వండుతది
బెయే గాటొ అట్త	అమ్మ అన్నం వండింది
బెయే గాటొ సక్కెడల్ అట్సేర మంత	అమ్మ అన్నం ఫ్రొద్దునుండి వంట చేస్తుంది
బెయే గాటొ అట్వల్ కియార్	అమ్మ అన్నం పండుటకు తెయారు చేస్తది
బెయే గాటొ అట్టర్	అమ్మ వంట చేస్తది
బెయే గాటొ అట్టర్	అమ్మ వంట చేస్తది
రెండ్ నేక్కెకె బేయేన గాటొ అట్వల్ ఆంత	అమ్మ వంట రెండు గంటలకు పూర్తి అయితది
నన్న దాంతోన్	నేను వెళ్తాను
మొమొట్ దాంతోం	మేము వెళ్తాము
మరట్ దాంతట్	మనం వెళ్తాము
నిమ్మె దాంతి	నీవు వెళ్తావు
మిమ్మెట్ దాంతిట్	మీరు / మీరందరు వెళ్తారు
వోర్ దాంతోర్	ఆయన / అతను వెళ్తాడు
అద్ దాంత	ఆమె వెళ్తుంది
ఊర్ దాంతేర్	వారు వెళ్తారు
అవ్ దాంతంగ్	వారు వెళ్తారు( స్త్రీలు)
నన్న సొత్తొన్	నేను వెళ్లాను
మొమొట్ సొత్తోం	మేము వెళ్లాము
మరట్ సొత్తట్	మనం వెళ్లాము
నిమ్మె సొత్తి	నువ్వు వెళ్లావు
నిమ్మెట్ సొత్తిట్	మీరు / మీరందరు వెళ్ళారు
వోర్ సొత్తోర్	ఆయన / అతను వెళ్లాడు
అద్ సొత్త	ఆమె వెళ్ళింది
ఊర్ సొత్తేర్	వారు వెళ్ళారు
అవ్ సొత్తంగ్	వారు వెళ్ళారు(స్త్రీలు)
చప్రసి దాద, పి. ఓ. సాబ్ నేండ్ రొప్పో మంతోర్?	వాచ్ మేన్ పి. ఓ. సార్ లోపల ఉన్నార
హొ, మంతోర్, రొప్పో సొన్	అవును ఉన్నారు లోపలికి వేల్లు
రామ్ రామ్ పి ఓ సాబ్	నమస్కారం పి. ఓ. సార్
హా! రామ్ రామ్! వా, ఉద్ధ	హా నమస్కారం దా కుర్చో
నీవ బత పొరోల్?	నీ పేరేమిటి
నావ పేందోర్ సుంగు సాబ్	నా పేరు పేందుర్ సుంగు సార్
నీవ బద్ నార్?	నీది ఎ ఊరు
నావ రాయిగూడ సాబ్	నాది రాయిగూడ సార్
నీవ బద్ మండల్?	నీది ఎ మండల్
నావ ఇచ్చోడ మండల్ సాబ్	నాది ఇచ్చోడ మండల్ సార్
నిమ్మ బేకె బహన్ వాతి? వెహా!	
నిమ్మె బెర్రే వోన్ పాతి	నీవు ఎందుకు వచ్చావు చెప్పు
నన్న నిహ్ కామ్ పియ్సి వాతోన్ సాబ్	నేను మీ దగ్గర పని కోసం వచ్చను సార్
హో!, హో! నాక్ వెహ	హ! హ! నాకు చెప్పండి
సాబ్ నావ ఇద్ లెహకీత కాగుత్ సూడ	సార్ నేను వ్రాసిన ధరఖాస్తు చూడు
హో, సీమ్	అవును ఇవ్వండి
నీకున్ బచ్చొంగ్ ఎక్కర్క్ బొమ్మి మంత	నీకు ఎన్ని ఎకరములు భూమి ఉంది
నాకున్ 10 దహ ఎక్కర్క్ బొమ్మి మంత సాబ్	నాకు పది ఎకరములు భూమి ఉంది సార్
బొమ్మి బాతల్ మంత?	భూమి ఎలా ఉంది?
నావ కానర్ బొమ్మి మంత సాబ్	నాది నల్ల రేగడి ఉంది సార్
నీకున్ బతల్ పహ్జా	నీకు ఏమి కావాలి
నాకున్ యేతున్ సాటి ఉంది బోర్వెల్ పహ్జె సాబ్	నాకు నీళ్ళ కోసం ఒక బోర్ పంపు కావాలి సార్
హో, కీకట్ మెంజె	హా! చేద్దాం
హో, సార్ బల్ చొకొట్ ఆంత	అవును సార్ చాల మంచిది
సర్పంచ్ సాబ్, రామ్ రామ్!	సర్పంచ్ సార్ నమస్కారం!
హొ, రామ్ రామ్!	హా! నమస్కారం
సమ్దిర్ మిరట్ చొకొట్ మంతిట్?	మీరందరు మంచిగా ఉన్నార?
హొ సాబ్, ఇంకెట్క్తె మొమొట్ సమ్దిర్ చొకొటె	అవును సార్ మేమందరము ఇప్పటికి మంచిదే
సర్పంచ్ సాబ్, నిమ్మె?	సర్పంచ్ సార్ మీరు?
నన్న గిర్ చొకొటె ఇంకెట్కెతె	నేను కూడ మంచిదే ఇప్పటికి
సర్పంచ్ సాబ్, నీ తోడొ రండ్ మూంద్	గొహ్టింగ్ వడ్క్వల్ మంత
హో బతల్ బహన్ వెహ	హో! ఏమి చెప్పండి
మావ నాటె బతతయ్ సుద్రన్ సిల్లె	మా ఊరు పరిశుబ్రత గురించి
మీవ నాటె బచ్చొంగ్ రొహ్కు మంతంగ్?	మీ ఊరిలో ఎన్ని ఇండ్లు ఉన్నాయి?
మావ నాటె సాట్ రొహ్కు మంతంగ్	మా ఊరిలో అర్వై ఇండ్లు కలవు
